EBD,DMF,EI,LSI,AGE,HSAA,HFA,SRH,PHL,DV,UWHF,MUF,SD,ST,EPK,GEN,LSC,EDU,PAI,PSM,Y
2,4,2,2,40,3,3,3,2,2,3,2,2,3,2,2,47,11,6,2,2
2,4,2,2,68,3,3,3,2,2,3,2,2,3,2,2,72,6,5,-4,2
2,3,2,2,64,3,3,3,2,2,3,2,2,3,0,2,53,6,4,0,2
4,2,4,1,88,1,1,1,4,4,5,4,3,3,-4,2,44,5,6,2,5
4,2,4,4,57,3,2,2,3,4,3,2,3,3,0,2,134,12,13,1,4
2,5,2,2,53,3,3,3,2,2,3,2,2,3,0,2,89,13,20,0,2
2,5,2,2,26,3,3,3,2,2,3,2,2,3,1,2,119,12,1,0,2
2,2,2,2,68,3,3,3,2,2,3,2,2,3,0,1,7,4,3,-1,2
1,5,1,1,84,1,1,3,2,1,5,3,1,2,0,2,60,4,6,3,1
1,5,3,1,79,3,1,2,1,2,5,5,4,4,0,2,63,3,7,4,3
2,1,2,2,66,3,3,3,2,2,3,2,2,3,0,2,38,6,5,0,2
2,5,2,2,78,3,3,3,2,2,3,2,2,3,0,1,40,10,4,0,2
2,3,2,2,75,1,3,2,3,2,5,3,2,3,0,2,67,4,5,0,3
2,5,2,2,75,3,3,3,2,2,3,2,2,3,3,2,50,1,3,1,2
2,5,2,2,49,3,3,3,2,2,3,2,2,3,2,2,132,7,13,4,2
2,5,2,2,50,3,3,3,2,2,3,2,2,3,2,1,128,3,6,2,2
2,5,1,2,56,2,2,4,2,2,4,2,2,3,1,1,128,9,10,1,2
2,5,2,2,67,3,3,3,2,2,3,2,2,3,0,2,180,6,0,0,2
2,4,2,2,28,3,3,3,2,2,3,2,2,3,0,2,105,12,8,1,2
2,5,2,2,43,3,3,3,2,2,3,2,2,3,2,2,380,6,3,2,2
2,4,2,1,46,1,3,2,2,2,3,1,2,3,-1,2,100,9,2,0,2
2,3,2,2,61,3,3,3,2,2,3,2,2,3,-3,2,120,4,1,5,2
2,2,2,2,79,3,3,3,2,2,3,2,2,3,0,2,30,1,0,0,2
2,3,2,2,37,3,3,3,2,2,3,2,2,3,2,2,90,9,0,-1,2
2,4,2,2,50,3,3,3,2,2,3,2,2,3,0,2,110,7,0,0,2
2,5,2,2,67,3,3,3,2,2,3,2,2,3,0,2,140,12,12,-1,2
5,3,1,5,48,1,4,1,4,2,2,1,2,3,3,1,100,4,6,0,1
2,5,2,2,62,3,3,3,2,2,3,2,2,3,0,1,80,3,2,0,2
2,4,2,2,69,3,3,3,2,2,3,2,2,3,0,1,80,11,8,0,2
2,4,2,2,85,3,3,3,2,2,3,2,2,3,-1,1,48,3,5,0,2
1,5,2,1,52,1,4,2,1,3,2,1,2,4,0,1,77,6,3,0,1
1,5,1,1,23,4,4,5,1,2,3,1,2,3,1,2,119,6,1000,0,3
2,4,1,2,53,3,4,2,2,1,2,4,2,3,-2,1,220,5,4,1,2
2,5,2,2,72,3,3,3,2,2,3,2,2,3,0,2,97,3,1,0,2
2,3,3,1,71,2,2,2,3,2,4,3,4,3,3,2,90,3,0,-2,2
1,5,1,2,70,2,1,5,1,1,5,1,1,4,1,1,200,6,3,0,1
5,4,1,5,90,4,4,1,5,3,1,3,3,4,0,2,119,1,0,0,4
2,4,2,2,49,3,3,3,2,2,3,2,2,3,1,2,100,7,0,0,2
2,2,2,2,56,3,3,3,2,2,3,2,2,3,0,2,119,4,1,-2,2
2,5,2,2,23,3,3,3,2,2,3,2,2,3,3,1,150,6,0,4,2
1,5,1,1,55,3,2,3,1,1,2,1,2,3,0,1,83,4,3,1,1
2,5,2,2,63,3,3,3,2,2,3,2,2,3,0,2,120,4,2,-3,2
1,5,1,1,57,1,1,4,1,1,4,1,2,4,0,2,122,3,2,0,1
1,2,2,1,81,4,4,4,1,1,2,2,1,1,0,2,119,3,2,3,1
2,5,2,2,35,3,3,3,2,2,3,2,2,3,0,1,90,7,5,0,2
2,5,2,2,72,3,3,3,2,2,3,2,2,3,0,2,120,6,4,0,2
2,3,2,2,38,3,3,3,2,2,3,2,2,3,3,2,120,6,2,0,2
1,5,1,1,86,1,2,3,1,1,2,1,1,4,0,1,100,10,9,0,1
1,5,5,1,69,1,2,5,1,2,5,1,2,3,2,2,90,3,1,1,1
2,5,2,2,80,3,3,3,2,2,3,2,2,3,0,1,120,1,4,0,2
3,3,3,3,84,2,3,4,2,4,3,1,2,2,4,2,127,7,9,-2,3
1,3,4,1,51,4,4,2,3,4,2,4,3,2,0,2,70,4,5,2,1
2,3,1,1,23,3,3,2,1,2,4,1,2,2,1,2,100,6,0,1,2
1,3,4,2,35,4,4,2,2,3,2,3,3,3,2,2,119,4,0,-2,2
2,4,2,2,25,3,3,3,2,2,3,2,2,3,1,2,119,10,0,1,2
2,5,2,2,56,3,3,3,2,2,3,2,2,3,0,1,89,4,3,0,2
4,2,1,1,71,4,4,1,5,4,2,3,4,4,1,2,119,1,1000,1,4
